symbol,timeframe,open_time,close_time,open,high,low,close,volume
BTCUSDT,1m,2026-01-01T00:00:00+00:00,2026-01-01T00:00:59.999000+00:00,87648.21000000,87648.22000000,87632.74000000,87648.00000000,4.08049000
BTCUSDT,1m,2026-01-01T00:01:00+00:00,2026-01-01T00:01:59.999000+00:00,87648.00000000,87686.79000000,87647.99000000,87686.79000000,8.53093000
BTCUSDT,1m,2026-01-01T00:02:00+00:00,2026-01-01T00:02:59.999000+00:00,87686.78000000,87686.79000000,87679.28000000,87682.91000000,4.08878000
BTCUSDT,1m,2026-01-01T00:03:00+00:00,2026-01-01T00:03:59.999000+00:00,87682.91000000,87701.91000000,87682.91000000,87701.90000000,1.26772000
BTCUSDT,1m,2026-01-01T00:04:00+00:00,2026-01-01T00:04:59.999000+00:00,87701.91000000,87701.91000000,87701.90000000,87701.91000000,0.47668000
BTCUSDT,1m,2026-01-01T00:05:00+00:00,2026-01-01T00:05:59.999000+00:00,87701.91000000,87816.00000000,87701.90000000,87761.47000000,33.42454000
BTCUSDT,1m,2026-01-01T00:06:00+00:00,2026-01-01T00:06:59.999000+00:00,87761.47000000,87761.48000000,87702.00000000,87702.00000000,4.31344000
BTCUSDT,1m,2026-01-01T00:07:00+00:00,2026-01-01T00:07:59.999000+00:00,87702.01000000,87742.00000000,87702.00000000,87740.00000000,9.67071000
BTCUSDT,1m,2026-01-01T00:08:00+00:00,2026-01-01T00:08:59.999000+00:00,87740.00000000,87765.75000000,87739.99000000,87765.75000000,1.34203000
BTCUSDT,1m,2026-01-01T00:09:00+00:00,2026-01-01T00:09:59.999000+00:00,87765.75000000,87766.00000000,87750.78000000,87764.06000000,9.03645000
BTCUSDT,1m,2026-01-01T00:10:00+00:00,2026-01-01T00:10:59.999000+00:00,87764.06000000,87764.07000000,87754.06000000,87754.07000000,1.27181000
BTCUSDT,1m,2026-01-01T00:11:00+00:00,2026-01-01T00:11:59.999000+00:00,87754.07000000,87759.15000000,87754.06000000,87759.15000000,1.68807000
BTCUSDT,1m,2026-01-01T00:12:00+00:00,2026-01-01T00:12:59.999000+00:00,87759.14000000,87759.15000000,87746.34000000,87746.34000000,4.52375000
BTCUSDT,1m,2026-01-01T00:13:00+00:00,2026-01-01T00:13:59.999000+00:00,87746.35000000,87746.35000000,87742.61000000,87742.62000000,1.08646000
BTCUSDT,1m,2026-01-01T00:14:00+00:00,2026-01-01T00:14:59.999000+00:00,87742.62000000,87742.62000000,87742.61000000,87742.61000000,1.29569000
BTCUSDT,1m,2026-01-01T00:15:00+00:00,2026-01-01T00:15:59.999000+00:00,87742.62000000,87757.81000000,87742.61000000,87757.81000000,1.80094000
BTCUSDT,1m,2026-01-01T00:16:00+00:00,2026-01-01T00:16:59.999000+00:00,87757.81000000,87757.81000000,87757.79000000,87757.79000000,2.17217000
BTCUSDT,1m,2026-01-01T00:17:00+00:00,2026-01-01T00:17:59.999000+00:00,87757.79000000,87757.80000000,87750.57000000,87750.58000000,1.67371000
BTCUSDT,1m,2026-01-01T00:18:00+00:00,2026-01-01T00:18:59.999000+00:00,87750.58000000,87750.58000000,87750.57000000,87750.58000000,1.28570000
BTCUSDT,1m,2026-01-01T00:19:00+00:00,2026-01-01T00:19:59.999000+00:00,87750.58000000,87760.19000000,87750.57000000,87760.19000000,2.53749000
BTCUSDT,1m,2026-01-01T00:20:00+00:00,2026-01-01T00:20:59.999000+00:00,87760.19000000,87768.34000000,87760.18000000,87768.33000000,0.63630000
BTCUSDT,1m,2026-01-01T00:21:00+00:00,2026-01-01T00:21:59.999000+00:00,87768.34000000,87768.34000000,87768.33000000,87768.33000000,0.35138000
BTCUSDT,1m,2026-01-01T00:22:00+00:00,2026-01-01T00:22:59.999000+00:00,87768.34000000,87768.34000000,87768.33000000,87768.34000000,0.70142000
BTCUSDT,1m,2026-01-01T00:23:00+00:00,2026-01-01T00:23:59.999000+00:00,87768.34000000,87774.00000000,87768.34000000,87773.98000000,2.13645000
BTCUSDT,1m,2026-01-01T00:24:00+00:00,2026-01-01T00:24:59.999000+00:00,87773.98000000,87773.98000000,87773.97000000,87773.97000000,0.80023000
BTCUSDT,1m,2026-01-01T00:25:00+00:00,2026-01-01T00:25:59.999000+00:00,87773.98000000,87774.33000000,87773.97000000,87774.32000000,2.73667000
BTCUSDT,1m,2026-01-01T00:26:00+00:00,2026-01-01T00:26:59.999000+00:00,87774.33000000,87774.33000000,87768.50000000,87768.50000000,4.18805000
BTCUSDT,1m,2026-01-01T00:27:00+00:00,2026-01-01T00:27:59.999000+00:00,87768.51000000,87768.51000000,87768.50000000,87768.50000000,1.03980000
BTCUSDT,1m,2026-01-01T00:28:00+00:00,2026-01-01T00:28:59.999000+00:00,87768.51000000,87776.19000000,87768.50000000,87776.18000000,1.73117000
BTCUSDT,1m,2026-01-01T00:29:00+00:00,2026-01-01T00:29:59.999000+00:00,87776.19000000,87776.19000000,87776.18000000,87776.18000000,0.32223000
