symbol,timeframe,open_time,close_time,open,high,low,close,volume
ETHUSDT,1m,2026-01-01T00:00:00+00:00,2026-01-01T00:00:59.999000+00:00,2971.65000000,2972.68000000,2971.15000000,2971.87000000,218.07850000
ETHUSDT,1m,2026-01-01T00:01:00+00:00,2026-01-01T00:01:59.999000+00:00,2971.86000000,2973.85000000,2971.86000000,2973.80000000,76.26530000
ETHUSDT,1m,2026-01-01T00:02:00+00:00,2026-01-01T00:02:59.999000+00:00,2973.80000000,2973.80000000,2973.21000000,2973.22000000,49.02630000
ETHUSDT,1m,2026-01-01T00:03:00+00:00,2026-01-01T00:03:59.999000+00:00,2973.21000000,2974.73000000,2973.21000000,2974.73000000,66.03640000
ETHUSDT,1m,2026-01-01T00:04:00+00:00,2026-01-01T00:04:59.999000+00:00,2974.72000000,2974.82000000,2974.41000000,2974.56000000,53.12340000
ETHUSDT,1m,2026-01-01T00:05:00+00:00,2026-01-01T00:05:59.999000+00:00,2974.57000000,2980.59000000,2974.57000000,2977.31000000,1349.44070000
ETHUSDT,1m,2026-01-01T00:06:00+00:00,2026-01-01T00:06:59.999000+00:00,2977.30000000,2977.30000000,2975.50000000,2975.72000000,93.70760000
ETHUSDT,1m,2026-01-01T00:07:00+00:00,2026-01-01T00:07:59.999000+00:00,2975.73000000,2978.95000000,2975.11000000,2978.38000000,453.47630000
ETHUSDT,1m,2026-01-01T00:08:00+00:00,2026-01-01T00:08:59.999000+00:00,2978.37000000,2979.37000000,2978.11000000,2979.24000000,88.43970000
ETHUSDT,1m,2026-01-01T00:09:00+00:00,2026-01-01T00:09:59.999000+00:00,2979.25000000,2979.70000000,2977.49000000,2978.08000000,143.37590000
ETHUSDT,1m,2026-01-01T00:10:00+00:00,2026-01-01T00:10:59.999000+00:00,2978.08000000,2978.08000000,2977.91000000,2977.91000000,14.35910000
ETHUSDT,1m,2026-01-01T00:11:00+00:00,2026-01-01T00:11:59.999000+00:00,2977.92000000,2978.50000000,2977.91000000,2978.49000000,51.49740000
ETHUSDT,1m,2026-01-01T00:12:00+00:00,2026-01-01T00:12:59.999000+00:00,2978.50000000,2978.50000000,2977.01000000,2977.01000000,23.22620000
ETHUSDT,1m,2026-01-01T00:13:00+00:00,2026-01-01T00:13:59.999000+00:00,2977.01000000,2977.01000000,2976.80000000,2976.81000000,9.09750000
ETHUSDT,1m,2026-01-01T00:14:00+00:00,2026-01-01T00:14:59.999000+00:00,2976.81000000,2977.19000000,2976.21000000,2976.22000000,110.74100000
ETHUSDT,1m,2026-01-01T00:15:00+00:00,2026-01-01T00:15:59.999000+00:00,2976.22000000,2977.71000000,2976.22000000,2977.71000000,30.57680000
ETHUSDT,1m,2026-01-01T00:16:00+00:00,2026-01-01T00:16:59.999000+00:00,2977.71000000,2977.71000000,2977.05000000,2977.05000000,20.06660000
ETHUSDT,1m,2026-01-01T00:17:00+00:00,2026-01-01T00:17:59.999000+00:00,2977.06000000,2977.07000000,2977.05000000,2977.07000000,35.54800000
ETHUSDT,1m,2026-01-01T00:18:00+00:00,2026-01-01T00:18:59.999000+00:00,2977.06000000,2978.00000000,2977.06000000,2977.62000000,38.56510000
ETHUSDT,1m,2026-01-01T00:19:00+00:00,2026-01-01T00:19:59.999000+00:00,2977.61000000,2977.62000000,2977.61000000,2977.62000000,4.59620000
ETHUSDT,1m,2026-01-01T00:20:00+00:00,2026-01-01T00:20:59.999000+00:00,2977.61000000,2978.21000000,2977.61000000,2978.06000000,20.87850000
ETHUSDT,1m,2026-01-01T00:21:00+00:00,2026-01-01T00:21:59.999000+00:00,2978.07000000,2978.32000000,2978.07000000,2978.17000000,29.88910000
ETHUSDT,1m,2026-01-01T00:22:00+00:00,2026-01-01T00:22:59.999000+00:00,2978.17000000,2978.71000000,2978.17000000,2978.71000000,31.73660000
ETHUSDT,1m,2026-01-01T00:23:00+00:00,2026-01-01T00:23:59.999000+00:00,2978.71000000,2979.90000000,2978.71000000,2979.26000000,61.19020000
ETHUSDT,1m,2026-01-01T00:24:00+00:00,2026-01-01T00:24:59.999000+00:00,2979.26000000,2979.27000000,2978.42000000,2978.42000000,21.41030000
ETHUSDT,1m,2026-01-01T00:25:00+00:00,2026-01-01T00:25:59.999000+00:00,2978.43000000,2979.49000000,2978.42000000,2979.49000000,33.45770000
ETHUSDT,1m,2026-01-01T00:26:00+00:00,2026-01-01T00:26:59.999000+00:00,2979.49000000,2979.49000000,2978.90000000,2979.39000000,21.61640000
ETHUSDT,1m,2026-01-01T00:27:00+00:00,2026-01-01T00:27:59.999000+00:00,2979.39000000,2980.00000000,2979.39000000,2979.69000000,39.76790000
ETHUSDT,1m,2026-01-01T00:28:00+00:00,2026-01-01T00:28:59.999000+00:00,2979.70000000,2980.31000000,2979.69000000,2979.85000000,36.46370000
ETHUSDT,1m,2026-01-01T00:29:00+00:00,2026-01-01T00:29:59.999000+00:00,2979.86000000,2979.86000000,2979.74000000,2979.75000000,23.67530000
